id;tenant_id;status;theoretical_count;physical_count;discrepancy_count;notes;auditor_login;started_at;closed_at;warehouse_id
1;41272;IN_PROGRESS;192;22209;97794;Regional;Metal Shoes override;2026-03-03T14:08:16;2026-03-03T16:31:41;1
2;48265;IN_PROGRESS;6265;18177;30726;AI payment;quantifying Networked;2026-03-04T00:14:44;2026-03-04T09:40:44;2
3;47334;CANCELLED;9868;28174;15592;Mouse Outdoors;full-range Keyboard;2026-03-03T21:06:19;2026-03-04T07:44:17;3
4;28857;CANCELLED;68726;61628;51236;Knolls Platinum;Robust Hills Security;2026-03-04T04:39:34;2026-03-04T09:19:51;4
5;97233;CANCELLED;40764;5752;18842;Chicken target;and;2026-03-03T15:16:49;2026-03-03T10:48:25;5
6;79612;CLOSED;90095;36411;17255;Designer recontextualize;solution-oriented;2026-03-03T16:03:40;2026-03-03T13:38:17;6
7;14148;CANCELLED;88320;95612;22433;Louisiana;hacking;2026-03-03T19:22:42;2026-03-03T11:10:44;7
8;350;IN_PROGRESS;50661;47481;5692;Suriname Pizza;PCI;2026-03-04T03:50:35;2026-03-04T07:06:08;8
9;31084;IN_PROGRESS;79278;16421;74550;metrics orange Wooden;cyan Bedfordshire;2026-03-04T02:07:20;2026-03-03T12:55:59;9
10;66906;CLOSED;72759;44749;91785;Incredible Intelligent;IB Factors transmit;2026-03-04T06:47:33;2026-03-04T06:05:00;10
