id;found_physically;resolution;resolution_note;created_at;stock_item_id;audit_id
1;false;FOUND;online;2026-03-04T03:38:20;1;1
2;true;IN_PROGRESS;time-frame;2026-03-03T12:02:35;2;2
3;false;IN_PROGRESS;Steel bypassing task-force;2026-03-04T01:37:44;3;3
4;false;FOUND;transmit Multi-layered Awesome;2026-03-03T10:27:59;4;4
5;false;FOUND;Expanded Sports;2026-03-03T15:02:31;5;5
6;true;IN_PROGRESS;York;2026-03-03T14:20:11;6;6
7;false;SYSTEM_ERROR;interface relationships Tasty;2026-03-03T10:14:06;7;7
8;true;IN_PROGRESS;payment Cambridgeshire Keyboard;2026-03-04T09:05:01;8;8
9;false;FOUND;Avon;2026-03-04T00:31:10;9;9
10;false;FOUND;Rubber invoice;2026-03-04T09:26:46;10;10
