id;movement_type;reason;reference;quantity;performed_by_login;created_at;stock_item_id
1;RETURN;Rican Bedfordshire;payment;163;violet Skyway challenge;2026-03-04T08:20:01;1
2;OUTBOUND;orange;generating Rupee;87890;teal haptic Hat;2026-03-04T07:23:54;2
3;SWAP_IN;collaboration back-end Mobility;Automotive redundant;74755;1080p;2026-03-03T22:14:03;3
4;OUTBOUND;deposit;Nicaragua Credit;15394;Refined;2026-03-03T19:18:18;4
5;INVENTORY_ADJUSTMENT;Bedfordshire secondary programming;Account;85737;Tasty Ports;2026-03-04T03:46:25;5
6;OUTBOUND;Loan;Curve payment;85769;extensible Pants;2026-03-04T06:23:07;6
7;RETURN;International;Wisconsin feed;80748;feed program;2026-03-04T05:09:18;7
8;INBOUND;Cambridgeshire SMTP Keyboard;Cambridgeshire bandwidth;14529;Sausages Ethiopia;2026-03-03T17:33:19;8
9;SWAP_OUT;Ball Fresh;Oregon Avon;21478;policy;2026-03-04T04:58:06;9
10;INVENTORY_ADJUSTMENT;azure withdrawal;Identity Bedfordshire Plastic;98048;invoice;2026-03-03T09:50:14;10
