id;tenant_id;name;type;address;city;min_threshold;is_active;created_at;updated_at
1;84062;Pound Metal;SWAP;Account wireless;Tigard;74319;false;2026-03-03T18:30:59;2026-03-03T15:13:40
2;35768;Pizza Awesome incentivize;MISSING;Unbranded rich;Carmelchester;26017;true;2026-03-03T14:35:47;2026-03-03T17:04:33
3;68311;GB Fresh Knolls;MISSING;Future interface;Schowalterstad;9282;true;2026-03-03T13:14:16;2026-03-03T22:38:27
4;72058;Multi-channelled Pennsylvania;MISSING;Wyoming Account;New Enrique;24082;true;2026-03-04T03:35:05;2026-03-03T10:39:44
5;88559;emulation;LOCAL;Salad users input;Lawton;68813;false;2026-03-04T05:36:50;2026-03-04T02:43:27
6;37512;Leone Cotton;MISSING;maximize Underpass;Mateochester;41702;true;2026-03-03T22:15:22;2026-03-04T08:27:12
7;11132;Brook neural Internal;SITE;Soft ADP;Franeckimouth;76831;false;2026-03-03T17:42:04;2026-03-03T10:01:29
8;41324;Chips reboot Tactics;LOCAL;Gloves visionary;South Ayanaton;46097;true;2026-03-03T10:13:33;2026-03-04T08:06:45
9;82544;overriding bandwidth Response;SITE;neural cohesive Coordinator;Kuhnchester;40302;true;2026-03-03T13:57:22;2026-03-04T05:30:05
10;3086;mobile;MISSING;RAM Guiana calculating;North Frederiquetown;6158;true;2026-03-03T14:10:14;2026-03-03T15:24:28
